"","date","state","new_cases_norm","new_deaths_norm"
"534",2020-03-11,"Utah",0.0316345075535295,0
"535",2020-03-11,"Vermont",0.159668145725923,0
"536",2020-03-11,"Virginia",0.0234805583911591,0
"537",2020-03-11,"Washington",0.782951197855616,0.0663517964284421
"538",2020-03-11,"Wisconsin",0.05160342151326,0
"539",2020-03-11,"Wyoming",0,0
"540",2020-03-12,"Alaska",0,0
"541",2020-03-12,"Arizona",0,0
"542",2020-03-12,"Arkansas",0.165902134330958,0
"543",2020-03-12,"California",0.126399734863916,0
"544",2020-03-12,"Colorado",0.263362855724209,0.0175575237149473
"545",2020-03-12,"Connecticut",0.0839709292642887,0
"546",2020-03-12,"Delaware",0.310182997629168,0
"547",2020-03-12,"District of Columbia",0,0
"548",2020-03-12,"Florida",0.093899689309403,0
"549",2020-03-12,"Georgia",0,0.00950617782731553
"550",2020-03-12,"Hawaii",0,0
"551",2020-03-12,"Illinois",0.0549403975173219,0
"552",2020-03-12,"Indiana",0.0149434882106338,0
"553",2020-03-12,"Iowa",0.0633684447324188,0
"554",2020-03-12,"Kansas",0.137385991093953,0.0343464977734883
"555",2020-03-12,"Kentucky",0.0895174606044846,0
"556",2020-03-12,"Louisiana",0.021459328777947,0
"557",2020-03-12,"Maine",0,0
"558",2020-03-12,"Maryland",0,0
"559",2020-03-12,"Massachusetts",0.188347136522263,0
"560",2020-03-12,"Michigan",0.100040866694045,0
"561",2020-03-12,"Minnesota",0.0712862662196305,0
"562",2020-03-12,"Mississippi",0,0
"563",2020-03-12,"Missouri",0.0163226611422076,0
"564",2020-03-12,"Nebraska",0.051833130493016,0
"565",2020-03-12,"Nevada",0.131822124498087,0
"566",2020-03-12,"New Hampshire",0.0737214126791983,0
"567",2020-03-12,"New Jersey",0.0673512547538761,0
"568",2020-03-12,"New Mexico",0.0954458945857362,0
"569",2020-03-12,"New York",0.557767036469623,0
"570",2020-03-12,"North Carolina",0.0770444218875498,0
"571",2020-03-12,"North Dakota",0,0
"572",2020-03-12,"Ohio",0.00855472827531032,0
"573",2020-03-12,"Oklahoma",0,0
"574",2020-03-12,"Oregon",0.238622878732092,0
"575",2020-03-12,"Pennsylvania",0.0468491597603197,0
"576",2020-03-12,"Rhode Island",0,0
"577",2020-03-12,"South Carolina",0.0393381203892035,0
